Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa)
2022-10-17,3.3,16.3,0.0,3.8,11.9,SSW,31.0,10:24,10.5,74,2.0,SW,6,1024.3,15.6,54,7,S,19,1022.4
2022-10-18,4.9,20.1,0.0,5.0,7.1,NNW,24.0,12:42,10.7,81,6.0,NW,11,1019.8,19.0,38,6,WNW,13,1016.9
2022-10-19,4.9,22.0,0.0,2.6,12.5,S,37.0,13:57,13.2,65,0.0, ,Calm,1019.8,21.3,45,1,S,24,1017.0
2022-10-20,8.4,21.6,0.0,5.2,12.4,S,31.0,16:06,14.3,75,1.0,SSW,13,1018.4,20.2,61,1,S,20,1015.1
2022-10-21,11.2,25.3,0.0,5.0,3.5,NNE,35.0,11:46,16.5,81,7.0,N,4,1012.8,22.9,67,6,ENE,17,1008.8
2022-10-22,15.8,20.3,38.0,3.4,2.8,NNE,39.0,03:54,16.0,98,7.0,SW,11,1008.4,18.8,78,7,S,13,1009.7
2022-10-23,12.8,19.5,4.8,0.4,0.8,SSE,35.0,16:26,14.3,88,7.0,SSE,17,1016.1,16.9,78,7,SSW,17,1013.9
2022-10-24,12.3,19.3,2.2,2.8,0.1,SSE,30.0,12:31,13.8,89,7.0,SSW,9,1013.3,18.4,72,8,S,15,1009.0
2022-10-25,13.5,23.6,3.2,2.8,8.1,WSW,41.0,14:49,17.0,90,5.0,WNW,9,1004.8,21.3,75,7,WSW,11,1001.5
2022-10-26,14.9,21.0,0.4,4.0,2.1,WNW,31.0,16:36,16.4,91,7.0,W,15,1001.0,18.9,77,7,SSW,19,999.2
2022-10-27,14.2,18.7,2.6,2.2,0.4,WNW,54.0,14:40,14.9,84,7.0,N,20,998.5,17.5,77,7,NW,17,997.9
2022-10-28,9.8,14.8,3.8,3.6,0.0,WNW,59.0,10:54,12.1,74,7.0,NNW,28,1000.1,14.1,69,8,W,37,1001.0
2022-10-29,8.4,17.2,5.2,2.8,5.7,SW,50.0,15:12,11.8,75,5.0,WNW,24,1006.6,12.0,85,7,SW,35,1006.7
2022-10-30,6.7,20.4,3.6,2.2,8.3,NNE,89.0,20:18,13.0,71,3.0,E,7,1009.9,19.5,52,7,NNE,37,1003.8
2022-10-31,12.8,21.2,0.0,6.4,4.5,NNE,78.0,23:18,20.2,57,3.0,NNW,37,991.1,19.1,56,7,NW,26,988.6
2022-11-1,7.7,14.3,2.8,5.4,5.8,WSW,63.0,16:02,10.7,64,6.0,NW,20,991.5,10.6,77,7,WNW,22,991.8
2022-11-2,5.1,14.9,1.8,2.6,5.7,SW,54.0,12:14,9.8,68,2.0,W,26,1006.9,14.7,57,7,WSW,31,1008.4
2022-11-3,7.7,14.7,1.2,4.2,3.4,SW,39.0,08:10,11.8,71,4.0,SW,24,1018.9,12.9,68,7,S,19,1021.2
2022-11-4,5.6,18.3,0.0,2.4,8.1,SSE,28.0,16:38,11.9,81,6.0,S,13,1028.0,16.7,55,3,S,9,1026.4
2022-11-5,11.2,23.5,0.0,3.0,9.2,NNE,39.0,12:09,13.7,81,4.0,N,9,1026.3,22.4,41,7,NNW,20,1023.2
2022-11-6,9.3,26.3,0.0,5.6,10.7,NNE,50.0,18:38,19.4,53,7.0,N,24,1023.2,25.4,33,6,NNW,17,1020.4
2022-11-7,10.6,26.0,0.0,6.6,11.3,S,39.0,14:05,20.0,59,4.0,NNE,13,1021.2,25.4,44,6,W,9,1019.1
2022-11-8,12.9,27.8,0.0,6.2,8.2,ENE,54.0,15:20,20.8,61,1.0,NNE,33,1018.1,22.9,57,6,SW,17,1016.5
2022-11-9,14.3,28.3,5.2,7.0,12.6,NNE,46.0,10:55,22.0,61,1.0,N,28,1018.7,27.5,44,4,N,26,1016.1
2022-11-10,17.3,24.4,0.0,8.0,4.6,NNE,67.0,10:01,21.0,59,7.0,NNE,33,1014.3,22.8,55,7,NNE,30,1012.1
